what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773502577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773503863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773635224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773636166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773637524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773675595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773849014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773856544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773862581
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340773967530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340773978335
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1340773981599
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1340773981670
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1340773981696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340773981964
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1340773988998
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1340773989058
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1340773989063
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1340773989198
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1340773997784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340773999871
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1340774273000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340774619272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340774629304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340774641583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340774645112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340774739247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1340774739255
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1340774740599
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1340774740610
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1340774740657
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1340774740658
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1340774740805
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1340774740815
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1340774741280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340774742924
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1340774756421
error,log,,,"Failed to load properties file for project 'GoodsOrderInventorySystemPro'",1340774757821
error,log,,,"Failed to load properties file for project 'GoodsOrderInventorySystemPro'",1340774757825
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1340774757838
error,log,,,"Failed to load properties file for project 'GoodsOrderInventorySystemPro'",1340774757839
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340774757840
error,log,,,"Failed to load properties file for project 'GoodsOrderInventorySystemPro'",1340774757846
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340774757942
error,log,,,"Failed to load properties file for project 'GoodsOrderInventorySystemPro'",1340774759414
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1340774759416
error,log,,,"Failed to load properties file for project 'GoodsOrderInventorySystemPro'",1340774759429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340774765594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1340774765597
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1340774765865
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340774777676
